Season,Team,Goals,xG,Venue,Efficiency
2019-2020,Atlético Madrid,2.0,2.5,Home,-0.5
2019-2020,Atlético Madrid,2.0,1.2,Home,0.8
2019-2020,Atlético Madrid,0.0,1.0,Home,-1.0
2019-2020,Atlético Madrid,1.0,0.6,Home,0.4
2019-2020,Atlético Madrid,3.0,1.7,Home,1.3
2019-2020,Atlético Madrid,2.0,2.0,Home,0.0
2019-2020,Atlético Madrid,1.0,1.1,Home,-0.10000000000000009
2019-2020,Atlético Madrid,2.0,1.8,Home,0.19999999999999996
2019-2020,Atlético Madrid,3.0,2.7,Home,0.2999999999999998
2019-2020,Atlético Madrid,1.0,0.7,Home,0.30000000000000004
2019-2020,Atlético Madrid,1.0,1.6,Home,-0.6000000000000001
2019-2020,Atlético Madrid,1.0,1.8,Away,-0.8
2019-2020,Atlético Madrid,0.0,1.2,Away,-1.2
2019-2020,Atlético Madrid,2.0,1.0,Away,1.0
2019-2020,Atlético Madrid,0.0,0.8,Away,-0.8
2019-2020,Atlético Madrid,1.0,1.7,Away,-0.7
2019-2020,Atlético Madrid,1.0,2.8,Away,-1.7999999999999998
2019-2020,Atlético Madrid,1.0,2.3,Away,-1.2999999999999998
2019-2020,Atlético Madrid,0.0,1.6,Away,-1.6
2019-2020,Atlético Madrid,2.0,1.6,Away,0.3999999999999999
2019-2020,Atlético Madrid,0.0,1.1,Away,-1.1
2019-2020,Atlético Madrid,0.0,0.4,Away,-0.4
2019-2020,Atlético Madrid,2.0,1.2,Away,0.8
2019-2020,Atlético Madrid,1.0,0.9,Away,0.09999999999999998
2019-2020,Atlético Madrid,1.0,1.3,Away,-0.30000000000000004
2019-2020,Atlético Madrid,5.0,1.7,Away,3.3
2019-2020,Atlético Madrid,1.0,0.9,Away,0.09999999999999998
2019-2020,Atlético Madrid,2.0,1.9,Away,0.10000000000000009
2019-2020,Atlético Madrid,1.0,1.2,Away,-0.19999999999999996
2019-2020,Atlético Madrid,2.0,1.2,Away,0.8
2019-2020,Barcelona,5.0,2.6,Home,2.4
2019-2020,Barcelona,5.0,2.4,Home,2.6
2019-2020,Barcelona,2.0,0.5,Home,1.5
2019-2020,Barcelona,4.0,2.1,Home,1.9
2019-2020,Barcelona,5.0,2.7,Home,2.3
2019-2020,Barcelona,4.0,1.4,Home,2.6
2019-2020,Barcelona,5.0,3.7,Home,1.2999999999999998
2019-2020,Barcelona,0.0,0.9,Home,-0.9
2019-2020,Barcelona,4.0,1.3,Home,2.7
2019-2020,Barcelona,1.0,1.2,Home,-0.19999999999999996
2019-2020,Barcelona,2.0,3.4,Home,-1.4
2019-2020,Barcelona,2.0,1.8,Home,0.19999999999999996
2019-2020,Barcelona,5.0,4.3,Home,0.7000000000000002
2019-2020,Barcelona,1.0,2.2,Home,-1.2000000000000002
2019-2020,Barcelona,2.0,1.6,Home,0.3999999999999999
2019-2020,Barcelona,1.0,1.8,Home,-0.8
2019-2020,Barcelona,2.0,1.9,Home,0.10000000000000009
2019-2020,Barcelona,1.0,1.0,Home,0.0
2019-2020,Barcelona,1.0,1.1,Home,-0.10000000000000009
2019-2020,Barcelona,0.0,0.9,Away,-0.9
2019-2020,Barcelona,2.0,0.4,Away,1.6
2019-2020,Barcelona,0.0,0.5,Away,-0.5
2019-2020,Barcelona,2.0,1.3,Away,0.7
2019-2020,Barcelona,3.0,1.5,Away,1.5
2019-2020,Barcelona,1.0,2.3,Away,-1.2999999999999998
2019-2020,Barcelona,2.0,1.7,Away,0.30000000000000004
2019-2020,Barcelona,1.0,0.9,Away,0.09999999999999998
2019-2020,Barcelona,2.0,1.2,Away,0.8
2019-2020,Barcelona,2.0,2.2,Away,-0.20000000000000018
2019-2020,Barcelona,0.0,1.1,Away,-1.1
2019-2020,Barcelona,3.0,1.7,Away,1.3
2019-2020,Barcelona,0.0,1.5,Away,-1.5
2019-2020,Barcelona,4.0,2.2,Away,1.7999999999999998
2019-2020,Barcelona,0.0,0.8,Away,-0.8
2019-2020,Barcelona,2.0,1.5,Away,0.5
2019-2020,Barcelona,4.0,2.4,Away,1.6
2019-2020,Barcelona,1.0,0.9,Away,0.09999999999999998
2019-2020,Barcelona,5.0,3.3,Away,1.7000000000000002
2019-2020,Betis,1.0,1.5,Home,-0.5
2019-2020,Betis,2.0,2.1,Home,-0.10000000000000009
2019-2020,Betis,1.0,1.1,Home,-0.10000000000000009
2019-2020,Betis,3.0,2.9,Home,0.10000000000000009
2019-2020,Betis,1.0,1.9,Home,-0.8999999999999999
2019-2020,Betis,2.0,1.0,Home,1.0
2019-2020,Betis,1.0,1.9,Home,-0.8999999999999999
2019-2020,Betis,2.0,1.7,Home,0.30000000000000004
2019-2020,Betis,3.0,2.0,Home,1.0
2019-2020,Betis,1.0,1.1,Home,-0.10000000000000009
2019-2020,Betis,3.0,1.8,Home,1.2
2019-2020,Betis,2.0,1.0,Home,1.0
2019-2020,Betis,3.0,3.3,Home,-0.2999999999999998
2019-2020,Betis,2.0,1.3,Home,0.7
2019-2020,Betis,2.0,1.7,Home,0.30000000000000004
2019-2020,Betis,1.0,0.9,Home,0.09999999999999998
2019-2020,Betis,0.0,0.5,Home,-0.5
2019-2020,Betis,3.0,1.8,Home,1.2
2019-2020,Betis,1.0,2.1,Home,-1.1
2019-2020,Betis,2.0,0.2,Away,1.8
2019-2020,Betis,0.0,0.4,Away,-0.4
2019-2020,Betis,1.0,0.7,Away,0.30000000000000004
2019-2020,Betis,1.0,1.0,Away,0.0
2019-2020,Betis,0.0,0.7,Away,-0.7
2019-2020,Betis,0.0,0.5,Away,-0.5
2019-2020,Betis,2.0,2.2,Away,-0.20000000000000018
2019-2020,Betis,2.0,0.9,Away,1.1
2019-2020,Betis,1.0,1.9,Away,-0.8999999999999999
2019-2020,Betis,0.0,1.3,Away,-1.3
2019-2020,Betis,1.0,1.2,Away,-0.19999999999999996
2019-2020,Betis,0.0,0.6,Away,-0.6
2019-2020,Betis,1.0,1.0,Away,0.0
2019-2020,Betis,0.0,0.5,Away,-0.5
2019-2020,Betis,0.0,1.8,Away,-1.8
2019-2020,Betis,2.0,2.1,Away,-0.10000000000000009
2019-2020,Betis,1.0,0.6,Away,0.4
2019-2020,Betis,0.0,1.1,Away,-1.1
2019-2020,Betis,0.0,0.5,Away,-0.5
2019-2020,Bournemouth,1.0,1.3,Home,-0.30000000000000004
2019-2020,Bournemouth,1.0,2.2,Home,-1.2000000000000002
2019-2020,Bournemouth,3.0,1.4,Home,1.6
2019-2020,Bournemouth,2.0,1.9,Home,0.10000000000000009
2019-2020,Bournemouth,0.0,0.7,Home,-0.7
2019-2020,Bournemouth,1.0,1.9,Home,-0.8999999999999999
2019-2020,Bournemouth,1.0,0.6,Home,0.4
2019-2020,Bournemouth,0.0,0.1,Home,-0.1
2019-2020,Bournemouth,0.0,0.1,Home,-0.1
2019-2020,Bournemouth,1.0,2.0,Home,-1.0
2019-2020,Bournemouth,0.0,0.4,Home,-0.4
2019-2020,Bournemouth,3.0,1.4,Home,1.6
2019-2020,Bournemouth,2.0,2.2,Home,-0.20000000000000018
2019-2020,Bournemouth,2.0,1.4,Home,0.6000000000000001
2019-2020,Bournemouth,0.0,0.5,Home,-0.5
2019-2020,Bournemouth,1.0,1.6,Home,-0.6000000000000001
2019-2020,Bournemouth,0.0,1.4,Home,-1.4
2019-2020,Bournemouth,4.0,2.5,Home,1.5
2019-2020,Bournemouth,0.0,0.5,Home,-0.5
2019-2020,Bournemouth,2.0,1.6,Away,0.3999999999999999
2019-2020,Bournemouth,1.0,0.6,Away,0.4
2019-2020,Bournemouth,3.0,1.2,Away,1.8
2019-2020,Bournemouth,0.0,0.6,Away,-0.6
2019-2020,Bournemouth,0.0,1.0,Away,-1.0
2019-2020,Bournemouth,1.0,1.8,Away,-0.8
2019-2020,Bournemouth,2.0,1.1,Away,0.8999999999999999
2019-2020,Bournemouth,0.0,0.4,Away,-0.4
2019-2020,Bournemouth,1.0,1.0,Away,0.0
2019-2020,Bournemouth,0.0,0.5,Away,-0.5
2019-2020,Bournemouth,0.0,0.6,Away,-0.6
2019-2020,Bournemouth,0.0,0.7,Away,-0.7
2019-2020,Bournemouth,1.0,1.4,Away,-0.3999999999999999
2019-2020,Bournemouth,0.0,1.8,Away,-1.8
2019-2020,Bournemouth,1.0,1.4,Away,-0.3999999999999999
2019-2020,Bournemouth,0.0,0.1,Away,-0.1
2019-2020,Bournemouth,2.0,1.8,Away,0.19999999999999996
2019-2020,Bournemouth,1.0,1.6,Away,-0.6000000000000001
2019-2020,Bournemouth,3.0,1.5,Away,1.5
2019-2020,Brighton,1.0,2.0,Home,-1.0
2019-2020,Brighton,0.0,0.8,Home,-0.8
2019-2020,Brighton,1.0,1.4,Home,-0.3999999999999999
2019-2020,Brighton,3.0,2.4,Home,0.6000000000000001
2019-2020,Brighton,3.0,1.2,Home,1.8
2019-2020,Brighton,2.0,2.7,Home,-0.7000000000000002
2019-2020,Brighton,0.0,0.6,Home,-0.6
2019-2020,Brighton,2.0,1.2,Home,0.8
2019-2020,Brighton,0.0,0.5,Home,-0.5
2019-2020,Brighton,2.0,0.8,Home,1.2
2019-2020,Brighton,1.0,1.3,Home,-0.30000000000000004
2019-2020,Brighton,1.0,1.1,Home,-0.10000000000000009
2019-2020,Brighton,1.0,0.8,Home,0.19999999999999996
2019-2020,Brighton,0.0,2.2,Home,-2.2
2019-2020,Brighton,2.0,1.0,Home,1.0
2019-2020,Brighton,0.0,0.4,Home,-0.4
2019-2020,Brighton,1.0,2.4,Home,-1.4
2019-2020,Brighton,0.0,0.2,Home,-0.2
2019-2020,Brighton,0.0,0.8,Home,-0.8
2019-2020,Brighton,3.0,0.8,Away,2.2
2019-2020,Brighton,0.0,0.9,Away,-0.9
2019-2020,Brighton,0.0,1.4,Away,-1.4
2019-2020,Brighton,0.0,0.6,Away,-0.6
2019-2020,Brighton,1.0,1.2,Away,-0.19999999999999996
2019-2020,Brighton,1.0,0.8,Away,0.19999999999999996
2019-2020,Brighton,1.0,0.8,Away,0.19999999999999996
2019-2020,Brighton,2.0,1.7,Away,0.30000000000000004
2019-2020,Brighton,1.0,2.3,Away,-1.2999999999999998
2019-2020,Brighton,1.0,1.0,Away,0.0
2019-2020,Brighton,0.0,1.3,Away,-1.3
2019-2020,Brighton,1.0,1.8,Away,-0.8
2019-2020,Brighton,3.0,1.9,Away,1.1
2019-2020,Brighton,1.0,1.2,Away,-0.19999999999999996
2019-2020,Brighton,0.0,0.3,Away,-0.3
2019-2020,Brighton,0.0,1.1,Away,-1.1
2019-2020,Brighton,1.0,1.0,Away,0.0
2019-2020,Brighton,1.0,0.7,Away,0.30000000000000004
2019-2020,Brighton,2.0,1.2,Away,0.8
2019-2020,Burnley,3.0,0.9,Home,2.1
2019-2020,Burnley,0.0,0.9,Home,-0.9
2019-2020,Burnley,2.0,2.0,Home,0.0
2019-2020,Burnley,1.0,0.6,Home,0.4
2019-2020,Burnley,2.0,2.1,Home,-0.10000000000000009
2019-2020,Burnley,3.0,2.1,Home,0.8999999999999999
2019-2020,Burnley,0.0,1.9,Home,-1.9
2019-2020,Burnley,1.0,0.6,Home,0.4
2019-2020,Burnley,1.0,1.4,Home,-0.3999999999999999
2019-2020,Burnley,0.0,0.5,Home,-0.5
2019-2020,Burnley,1.0,2.2,Home,-1.2000000000000002
2019-2020,Burnley,2.0,1.4,Home,0.6000000000000001
2019-2020,Burnley,0.0,1.9,Home,-1.9
2019-2020,Burnley,3.0,3.2,Home,-0.20000000000000018
2019-2020,Burnley,1.0,3.0,Home,-2.0
2019-2020,Burnley,1.0,0.9,Home,0.09999999999999998
2019-2020,Burnley,1.0,1.3,Home,-0.30000000000000004
2019-2020,Burnley,1.0,1.9,Home,-0.8999999999999999
2019-2020,Burnley,1.0,1.7,Home,-0.7
2019-2020,Burnley,1.0,1.5,Away,-0.5
2019-2020,Burnley,1.0,1.6,Away,-0.6000000000000001
2019-2020,Burnley,1.0,0.4,Away,0.6
2019-2020,Burnley,2.0,1.5,Away,0.5
2019-2020,Burnley,1.0,1.5,Away,-0.5
2019-2020,Burnley,0.0,0.8,Away,-0.8
2019-2020,Burnley,3.0,1.9,Away,1.1
2019-2020,Burnley,0.0,0.9,Away,-0.9
2019-2020,Burnley,1.0,0.2,Away,0.8
2019-2020,Burnley,0.0,0.3,Away,-0.3
2019-2020,Burnley,0.0,0.8,Away,-0.8
2019-2020,Burnley,2.0,0.6,Away,1.4
2019-2020,Burnley,2.0,0.8,Away,1.2
2019-2020,Burnley,0.0,0.7,Away,-0.7
2019-2020,Burnley,0.0,0.0,Away,0.0
2019-2020,Burnley,1.0,0.4,Away,0.6
2019-2020,Burnley,1.0,0.9,Away,0.09999999999999998
2019-2020,Burnley,1.0,0.4,Away,0.6
2019-2020,Burnley,2.0,1.8,Away,0.19999999999999996
2019-2020,Celta Vigo,1.0,1.6,Home,-0.6000000000000001
2019-2020,Celta Vigo,1.0,1.9,Home,-0.8999999999999999
2019-2020,Celta Vigo,0.0,0.3,Home,-0.3
2019-2020,Celta Vigo,1.0,1.1,Home,-0.10000000000000009
2019-2020,Celta Vigo,1.0,1.2,Home,-0.19999999999999996
2019-2020,Celta Vigo,0.0,0.9,Home,-0.9
2019-2020,Celta Vigo,0.0,0.2,Home,-0.2
2019-2020,Celta Vigo,0.0,1.1,Home,-1.1
2019-2020,Celta Vigo,2.0,2.2,Home,-0.20000000000000018
2019-2020,Celta Vigo,1.0,1.6,Home,-0.6000000000000001
2019-2020,Celta Vigo,0.0,1.1,Home,-1.1
2019-2020,Celta Vigo,2.0,1.6,Home,0.3999999999999999
2019-2020,Celta Vigo,1.0,0.2,Home,0.8
2019-2020,Celta Vigo,0.0,0.2,Home,-0.2
2019-2020,Celta Vigo,6.0,2.9,Home,3.1
2019-2020,Celta Vigo,2.0,1.9,Home,0.10000000000000009
2019-2020,Celta Vigo,1.0,0.2,Home,0.8
2019-2020,Celta Vigo,1.0,0.4,Home,0.6
2019-2020,Celta Vigo,2.0,1.6,Home,0.3999999999999999
2019-2020,Celta Vigo,1.0,0.4,Away,0.6
2019-2020,Celta Vigo,0.0,0.6,Away,-0.6
2019-2020,Celta Vigo,0.0,0.9,Away,-0.9
2019-2020,Celta Vigo,0.0,1.3,Away,-1.3
2019-2020,Celta Vigo,1.0,1.7,Away,-0.7
2019-2020,Celta Vigo,1.0,0.4,Away,0.6
2019-2020,Celta Vigo,3.0,1.9,Away,1.1
2019-2020,Celta Vigo,2.0,0.5,Away,1.5
2019-2020,Celta Vigo,1.0,0.9,Away,0.09999999999999998
2019-2020,Celta Vigo,1.0,0.7,Away,0.30000000000000004
2019-2020,Celta Vigo,0.0,1.3,Away,-1.3
2019-2020,Celta Vigo,2.0,1.0,Away,1.0
2019-2020,Celta Vigo,0.0,0.3,Away,-0.3
2019-2020,Celta Vigo,0.0,0.2,Away,-0.2
2019-2020,Celta Vigo,0.0,1.1,Away,-1.1
2019-2020,Celta Vigo,1.0,0.9,Away,0.09999999999999998
2019-2020,Celta Vigo,1.0,1.4,Away,-0.3999999999999999
2019-2020,Celta Vigo,1.0,0.9,Away,0.09999999999999998
2019-2020,Celta Vigo,0.0,0.6,Away,-0.6
2019-2020,Chelsea,1.0,1.1,Home,-0.10000000000000009
2019-2020,Chelsea,2.0,2.0,Home,0.0
2019-2020,Chelsea,1.0,1.3,Home,-0.30000000000000004
2019-2020,Chelsea,2.0,3.7,Home,-1.7000000000000002
2019-2020,Chelsea,1.0,2.0,Home,-1.0
2019-2020,Chelsea,2.0,3.6,Home,-1.6
2019-2020,Chelsea,0.0,2.3,Home,-2.3
2019-2020,Chelsea,2.0,1.8,Home,0.19999999999999996
2019-2020,Chelsea,0.0,2.1,Home,-2.1
2019-2020,Chelsea,0.0,0.7,Home,-0.7
2019-2020,Chelsea,3.0,2.7,Home,0.2999999999999998
2019-2020,Chelsea,2.0,2.9,Home,-0.8999999999999999
2019-2020,Chelsea,0.0,0.9,Home,-0.9
2019-2020,Chelsea,2.0,1.7,Home,0.30000000000000004
2019-2020,Chelsea,4.0,1.8,Home,2.2
2019-2020,Chelsea,2.0,3.2,Home,-1.2000000000000002
2019-2020,Chelsea,3.0,2.5,Home,0.5
2019-2020,Chelsea,1.0,2.5,Home,-1.5
2019-2020,Chelsea,2.0,1.4,Home,0.6000000000000001
2019-2020,Chelsea,0.0,1.0,Away,-1.0
2019-2020,Chelsea,3.0,1.5,Away,1.5
2019-2020,Chelsea,5.0,2.7,Away,2.3
2019-2020,Chelsea,4.0,1.7,Away,2.3
2019-2020,Chelsea,4.0,0.9,Away,3.1
2019-2020,Chelsea,2.0,2.1,Away,-0.10000000000000009
2019-2020,Chelsea,1.0,0.9,Away,0.09999999999999998
2019-2020,Chelsea,1.0,1.1,Away,-0.10000000000000009
2019-2020,Chelsea,2.0,1.3,Away,0.7
2019-2020,Chelsea,2.0,1.4,Away,0.6000000000000001
2019-2020,Chelsea,1.0,1.3,Away,-0.30000000000000004
2019-2020,Chelsea,0.0,2.4,Away,-2.4
2019-2020,Chelsea,2.0,0.6,Away,1.4
2019-2020,Chelsea,2.0,1.9,Away,0.10000000000000009
2019-2020,Chelsea,2.0,1.1,Away,0.8999999999999999
2019-2020,Chelsea,2.0,1.6,Away,0.3999999999999999
2019-2020,Chelsea,3.0,1.9,Away,1.1
2019-2020,Chelsea,0.0,1.2,Away,-1.2
2019-2020,Chelsea,3.0,2.4,Away,0.6000000000000001
2019-2020,Crystal Palace,0.0,0.9,Home,-0.9
2019-2020,Crystal Palace,1.0,1.4,Home,-0.3999999999999999
2019-2020,Crystal Palace,1.0,0.9,Home,0.09999999999999998
2019-2020,Crystal Palace,2.0,1.5,Home,0.5
2019-2020,Crystal Palace,0.0,0.9,Home,-0.9
2019-2020,Crystal Palace,0.0,0.5,Home,-0.5
2019-2020,Crystal Palace,1.0,1.0,Home,0.0
2019-2020,Crystal Palace,1.0,0.3,Home,0.7
2019-2020,Crystal Palace,1.0,0.7,Home,0.30000000000000004
2019-2020,Crystal Palace,2.0,2.7,Home,-0.7000000000000002
2019-2020,Crystal Palace,1.0,0.6,Home,0.4
2019-2020,Crystal Palace,0.0,0.6,Home,-0.6
2019-2020,Crystal Palace,0.0,0.8,Home,-0.8
2019-2020,Crystal Palace,1.0,1.6,Home,-0.6000000000000001
2019-2020,Crystal Palace,1.0,0.8,Home,0.19999999999999996
2019-2020,Crystal Palace,0.0,0.9,Home,-0.9
2019-2020,Crystal Palace,2.0,1.5,Home,0.5
2019-2020,Crystal Palace,0.0,0.6,Home,-0.6
2019-2020,Crystal Palace,1.0,0.8,Home,0.19999999999999996
2019-2020,Crystal Palace,0.0,0.3,Away,-0.3
2019-2020,Crystal Palace,2.0,1.1,Away,0.8999999999999999
2019-2020,Crystal Palace,0.0,0.6,Away,-0.6
2019-2020,Crystal Palace,2.0,2.1,Away,-0.10000000000000009
2019-2020,Crystal Palace,2.0,1.6,Away,0.3999999999999999
2019-2020,Crystal Palace,0.0,0.2,Away,-0.2
2019-2020,Crystal Palace,2.0,0.7,Away,1.3
2019-2020,Crystal Palace,0.0,0.2,Away,-0.2
2019-2020,Crystal Palace,0.0,1.3,Away,-1.3
2019-2020,Crystal Palace,1.0,0.3,Away,0.7
2019-2020,Crystal Palace,1.0,1.3,Away,-0.30000000000000004
2019-2020,Crystal Palace,2.0,0.4,Away,1.6
2019-2020,Crystal Palace,1.0,1.1,Away,-0.10000000000000009
2019-2020,Crystal Palace,1.0,2.5,Away,-1.5
2019-2020,Crystal Palace,2.0,0.8,Away,1.2
2019-2020,Crystal Palace,0.0,0.1,Away,-0.1
2019-2020,Crystal Palace,0.0,0.8,Away,-0.8
2019-2020,Crystal Palace,0.0,1.2,Away,-1.2
2019-2020,Crystal Palace,0.0,0.4,Away,-0.4
2019-2020,Eibar,1.0,0.7,Home,0.30000000000000004
2019-2020,Eibar,3.0,1.5,Home,1.5
2019-2020,Eibar,2.0,1.1,Home,0.8999999999999999
2019-2020,Eibar,0.0,0.3,Home,-0.3
2019-2020,Eibar,2.0,2.4,Home,-0.3999999999999999
2019-2020,Eibar,0.0,1.0,Home,-1.0
2019-2020,Eibar,0.0,1.4,Home,-1.4
2019-2020,Eibar,0.0,0.3,Home,-0.3
2019-2020,Eibar,3.0,1.9,Home,1.1
2019-2020,Eibar,2.0,0.8,Home,1.2
2019-2020,Eibar,1.0,2.2,Home,-1.2000000000000002
2019-2020,Eibar,3.0,2.7,Home,0.2999999999999998
2019-2020,Eibar,1.0,0.9,Home,0.09999999999999998
2019-2020,Eibar,1.0,2.0,Home,-1.0
2019-2020,Eibar,2.0,2.1,Home,-0.10000000000000009
2019-2020,Eibar,1.0,0.6,Home,0.4
2019-2020,Eibar,0.0,0.9,Home,-0.9
2019-2020,Eibar,0.0,0.2,Home,-0.2
2019-2020,Eibar,3.0,2.7,Home,0.2999999999999998
2019-2020,Eibar,1.0,0.7,Away,0.30000000000000004
2019-2020,Eibar,0.0,0.8,Away,-0.8
2019-2020,Eibar,2.0,0.9,Away,1.1
2019-2020,Eibar,0.0,1.4,Away,-1.4
2019-2020,Eibar,1.0,1.2,Away,-0.19999999999999996
2019-2020,Eibar,0.0,0.6,Away,-0.6
2019-2020,Eibar,2.0,0.9,Away,1.1
2019-2020,Eibar,1.0,0.6,Away,0.4
2019-2020,Eibar,0.0,0.4,Away,-0.4
2019-2020,Eibar,0.0,1.0,Away,-1.0
2019-2020,Eibar,0.0,0.2,Away,-0.2
2019-2020,Eibar,1.0,0.1,Away,0.9
2019-2020,Eibar,0.0,0.5,Away,-0.5
2019-2020,Eibar,1.0,0.5,Away,0.5
2019-2020,Eibar,1.0,0.6,Away,0.4
2019-2020,Eibar,2.0,1.7,Away,0.30000000000000004
2019-2020,Eibar,0.0,1.5,Away,-1.5
2019-2020,Eibar,2.0,2.0,Away,0.0
2019-2020,Eibar,0.0,0.5,Away,-0.5
2019-2020,Espanyol,0.0,0.2,Home,-0.2
2019-2020,Espanyol,0.0,1.4,Home,-1.4
2019-2020,Espanyol,1.0,0.9,Home,0.09999999999999998
2019-2020,Espanyol,0.0,1.3,Home,-1.3
2019-2020,Espanyol,0.0,1.0,Home,-1.0
2019-2020,Espanyol,1.0,1.3,Home,-0.30000000000000004
2019-2020,Espanyol,1.0,1.1,Home,-0.10000000000000009
2019-2020,Espanyol,2.0,1.6,Home,0.3999999999999999
2019-2020,Espanyol,2.0,1.4,Home,0.6000000000000001
2019-2020,Espanyol,2.0,0.7,Home,1.3
2019-2020,Espanyol,1.0,0.6,Home,0.4
2019-2020,Espanyol,1.0,1.6,Home,-0.6000000000000001
2019-2020,Espanyol,1.0,1.2,Home,-0.19999999999999996
2019-2020,Espanyol,2.0,2.5,Home,-0.5
2019-2020,Espanyol,1.0,0.6,Home,0.4
2019-2020,Espanyol,0.0,0.8,Home,-0.8
2019-2020,Espanyol,0.0,0.8,Home,-0.8
2019-2020,Espanyol,0.0,0.7,Home,-0.7
2019-2020,Espanyol,0.0,0.4,Home,-0.4
2019-2020,Espanyol,0.0,0.2,Away,-0.2
2019-2020,Espanyol,2.0,1.8,Away,0.19999999999999996
2019-2020,Espanyol,1.0,1.2,Away,-0.19999999999999996
2019-2020,Espanyol,0.0,1.2,Away,-1.2
2019-2020,Espanyol,1.0,1.0,Away,0.0
2019-2020,Espanyol,0.0,0.9,Away,-0.9
2019-2020,Espanyol,1.0,0.4,Away,0.6
2019-2020,Espanyol,0.0,0.5,Away,-0.5
2019-2020,Espanyol,0.0,0.7,Away,-0.7
2019-2020,Espanyol,2.0,1.7,Away,0.30000000000000004
2019-2020,Espanyol,1.0,3.0,Away,-2.0
2019-2020,Espanyol,2.0,0.5,Away,1.5
2019-2020,Espanyol,1.0,1.2,Away,-0.19999999999999996
2019-2020,Espanyol,0.0,0.3,Away,-0.3
2019-2020,Espanyol,0.0,0.3,Away,-0.3
2019-2020,Espanyol,0.0,1.1,Away,-1.1
2019-2020,Espanyol,1.0,0.2,Away,0.8
2019-2020,Espanyol,0.0,0.9,Away,-0.9
2019-2020,Espanyol,0.0,1.3,Away,-1.3
2019-2020,Everton,1.0,0.7,Home,0.30000000000000004
2019-2020,Everton,3.0,1.3,Home,1.7
2019-2020,Everton,0.0,1.0,Home,-1.0
2019-2020,Everton,1.0,2.4,Home,-1.4
2019-2020,Everton,2.0,2.1,Home,-0.10000000000000009
2019-2020,Everton,1.0,1.1,Home,-0.10000000000000009
2019-2020,Everton,0.0,0.9,Home,-0.9
2019-2020,Everton,3.0,1.8,Home,1.2
2019-2020,Everton,0.0,0.5,Home,-0.5
2019-2020,Everton,1.0,1.4,Home,-0.3999999999999999
2019-2020,Everton,1.0,1.7,Home,-0.7
2019-2020,Everton,2.0,1.8,Home,0.19999999999999996
2019-2020,Everton,3.0,2.5,Home,0.5
2019-2020,Everton,1.0,2.1,Home,-1.1
2019-2020,Everton,0.0,0.9,Home,-0.9
2019-2020,Everton,2.0,1.2,Home,0.8
2019-2020,Everton,1.0,1.0,Home,0.0
2019-2020,Everton,1.0,0.9,Home,0.09999999999999998
2019-2020,Everton,1.0,1.7,Home,-0.7
2019-2020,Everton,0.0,1.1,Away,-1.1
2019-2020,Everton,0.0,1.3,Away,-1.3
2019-2020,Everton,1.0,1.5,Away,-0.5
2019-2020,Everton,0.0,1.3,Away,-1.3
2019-2020,Everton,2.0,0.9,Away,1.1
2019-2020,Everton,2.0,1.8,Away,0.19999999999999996
2019-2020,Everton,1.0,1.1,Away,-0.10000000000000009
2019-2020,Everton,2.0,1.5,Away,0.5
2019-2020,Everton,1.0,0.3,Away,0.7
2019-2020,Everton,2.0,2.9,Away,-0.8999999999999999
2019-2020,Everton,1.0,1.0,Away,0.0
2019-2020,Everton,1.0,1.7,Away,-0.7
2019-2020,Everton,3.0,2.2,Away,0.7999999999999998
2019-2020,Everton,2.0,2.7,Away,-0.7000000000000002
2019-2020,Everton,0.0,0.5,Away,-0.5
2019-2020,Everton,1.0,0.8,Away,0.19999999999999996
2019-2020,Everton,0.0,0.5,Away,-0.5
2019-2020,Everton,0.0,0.3,Away,-0.3
2019-2020,Everton,1.0,0.4,Away,0.6
2019-2020,Getafe,1.0,0.3,Home,0.7
2019-2020,Getafe,1.0,1.0,Home,0.0
2019-2020,Getafe,4.0,2.1,Home,1.9
2019-2020,Getafe,0.0,1.0,Home,-1.0
2019-2020,Getafe,2.0,1.0,Home,1.0
2019-2020,Getafe,3.0,0.8,Home,2.2
2019-2020,Getafe,0.0,1.3,Home,-1.3
2019-2020,Getafe,4.0,1.8,Home,2.2
2019-2020,Getafe,2.0,1.5,Home,0.5
2019-2020,Getafe,0.0,1.3,Home,-1.3
2019-2020,Getafe,1.0,1.4,Home,-0.3999999999999999
2019-2020,Getafe,3.0,2.9,Home,0.10000000000000009
2019-2020,Getafe,0.0,0.5,Home,-0.5
2019-2020,Getafe,0.0,1.1,Home,-1.1
2019-2020,Getafe,0.0,2.1,Home,-2.1
2019-2020,Getafe,1.0,0.8,Home,0.19999999999999996
2019-2020,Getafe,2.0,1.4,Home,0.6000000000000001
2019-2020,Getafe,1.0,0.3,Home,0.7
2019-2020,Getafe,0.0,1.8,Home,-1.8
2019-2020,Getafe,0.0,0.3,Away,-0.3
2019-2020,Getafe,1.0,1.5,Away,-0.5
2019-2020,Getafe,3.0,2.0,Away,1.0
2019-2020,Getafe,2.0,0.9,Away,1.1
2019-2020,Getafe,0.0,0.7,Away,-0.7
2019-2020,Getafe,1.0,0.4,Away,0.6
2019-2020,Getafe,1.0,0.7,Away,0.30000000000000004
2019-2020,Getafe,1.0,0.9,Away,0.09999999999999998
2019-2020,Getafe,0.0,0.6,Away,-0.6
2019-2020,Getafe,3.0,1.3,Away,1.7
